0,culture::abruzzi
1,culture::achaemenid
2,culture::aegean
9,culture::akkadian
10,culture::alexandria-hadra
12,culture::alsace
13,culture::american
14,culture::american or european
15,culture::amsterdam
16,culture::ansbach
17,culture::antwerp
18,culture::apulian
22,culture::asia minor
23,culture::assyrian
24,culture::atlantic watershed
25,culture::attic
26,culture::augsburg
27,culture::augsburg decoration
28,culture::augsburg original
29,culture::austrian
32,culture::aztec
33,culture::babylonian
35,culture::bactria-margiana archaeological complex
38,culture::bayreuth
40,culture::beauvais
41,culture::belgian
42,culture::berlin
43,culture::birmingham
44,culture::boeotian
45,culture::bohemian
46,culture::bologna
48,culture::bow
49,culture::brescia
50,culture::bristol
51,culture::british
52,culture::british or french
54,culture::brunswick
55,culture::brussels
56,culture::burma
58,culture::byzantine
59,culture::calima
60,culture::cambodia
61,culture::campanian
62,culture::canaanite
64,culture::castel durante
65,culture::catalan
66,culture::catalonia
67,culture::caucasian
69,culture::central asia
70,culture::central european
